Date, Instance, Algorithm, TotalIter, RandSeed, Duration, IterCount, TotalDist, Centers, Assignment
2014-03-28 Fri 21:15:50, pmedcap1(1).txt, [double]ShiftCustomerNeighborhood, 12800, 1396012393, 4.172, 0, 1210.43, 41|7|39|35|37|, 35|39|41|39|35|39|37|7|7|37|41|39|41|35|35|35|37|35|39|7|35|35|41|39|37|35|39|39|37|37|39|35|37|7|7|35|7|37|35|39|41|41|39|41|37|41|7|37|37|41|
2014-03-28 Fri 21:15:50, pmedcap1(1).txt, [double]ShiftCustomerNeighborhood, 25600, 1396012393, 0.002, 0, 863.995, 22|38|29|30|1|, 38|1|22|30|30|1|29|1|1|29|22|1|22|38|38|38|29|38|30|1|38|30|22|30|29|30|1|30|38|29|30|38|38|30|1|38|1|29|38|1|38|22|29|38|22|22|30|30|29|38|
2014-03-28 Fri 21:20:00, pmedcap1(1).txt, [double]ShiftCustomerNeighborhood, 12800, 1396012800, 0.001, 0, 1402.47, 20|14|10|21|15|, 20|21|10|21|21|21|10|21|21|10|10|21|10|20|14|15|10|20|21|21|20|21|10|14|10|15|14|14|14|10|15|20|15|15|14|20|14|10|14|14|20|10|14|20|10|20|21|15|20|20|
2014-03-28 Fri 21:20:00, pmedcap1(1).txt, [double]ShiftCustomerNeighborhood, 25600, 1396012800, 0.002, 0, 1700.14, 19|3|44|7|6|, 44|19|44|3|3|3|6|7|19|44|44|19|44|44|3|3|44|3|3|19|44|3|44|3|6|19|3|3|44|44|3|44|19|19|7|6|19|6|44|7|6|6|19|44|44|6|3|7|6|6|
2014-03-28 Fri 21:29:01, pmedcap1(1).txt, [double]ShiftCustomerNeighborhood, 12800, 1396013341, 0.001, 0, 1035.16, 36|48|17|28|22|, 17|36|22|36|28|36|22|36|36|48|22|36|22|17|17|17|48|17|36|36|17|28|22|36|48|28|28|28|28|48|28|17|17|28|48|17|36|48|17|28|17|22|48|17|22|22|36|28|48|17|
2014-03-28 Fri 21:29:01, pmedcap1(1).txt, [double]ShiftCustomerNeighborhood, 25600, 1396013341, 0.002, 0, 1094.68, 28|21|2|32|19|, 32|19|2|28|21|19|2|19|19|2|2|19|2|2|28|32|2|32|21|19|32|21|2|21|19|21|28|21|28|2|21|2|32|32|19|32|28|2|28|19|2|28|19|2|2|2|21|32|28|32|
2014-04-02 Wed 19:52:36, pmedcap1(1).txt, [unsigned int]ShiftCustomerNeighborhood, 1000, 1396439556, 0.001, 0, 1437, 19|36|27|18|41|, 41|19|41|36|18|36|41|19|19|41|41|19|41|41|18|18|41|18|18|19|18|18|41|27|36|18|36|27|36|41|27|41|18|27|19|36|36|41|36|36|36|41|19|41|36|36|27|27|36|36|
2014-04-02 Wed 19:52:37, pmedcap1(1).txt, [unsigned int]ShiftCustomerNeighborhood, 2000, 1396439556, 0.001, 0, 1013, 33|14|36|30|22|, 14|36|22|36|30|36|22|36|36|22|22|36|22|14|14|14|22|14|30|36|14|30|22|36|36|33|36|30|14|22|30|14|14|33|30|14|36|22|14|30|14|22|36|14|22|22|30|33|30|14|
2014-04-02 Wed 20:32:52, pmedcap1(1).txt, [unsigned int]ShiftCustomerNeighborhood, 1000, 1396441971, 0.001, 0, 1197.41, 38|32|45|7|8|, 38|8|45|8|32|8|45|7|8|45|45|8|45|45|38|32|45|38|32|8|38|32|45|8|8|32|38|8|38|45|32|38|32|32|8|38|7|45|38|7|38|45|7|38|38|45|32|32|38|38|
2014-04-02 Wed 20:32:53, pmedcap1(1).txt, [unsigned int]ShiftCustomerNeighborhood, 2000, 1396441971, 0, 0, 1200.69, 33|43|6|14|42|, 43|42|43|42|14|42|6|42|42|6|43|42|43|43|14|14|6|14|14|42|43|14|6|42|42|33|14|42|14|6|33|43|14|33|6|14|42|6|43|6|43|43|42|43|6|43|33|33|43|43|
2014-04-02 Wed 20:33:55, pmedcap1(1).txt, [unsigned int]ShiftCustomerNeighborhood, 1000, 1396442034, 0.001, 0, 1055.67, 43|3|26|17|16|, 43|3|16|3|3|26|16|3|3|16|16|3|16|43|17|17|16|17|3|3|17|3|16|26|16|17|26|26|26|16|3|43|17|17|26|17|26|16|17|26|43|16|26|43|16|43|3|17|26|43|
2014-04-02 Wed 20:33:56, pmedcap1(1).txt, [unsigned int]ShiftCustomerNeighborhood, 2000, 1396442034, 0.001, 0, 1144.65, 23|20|45|18|30|, 20|23|45|23|18|23|45|23|23|45|45|23|45|20|20|20|45|20|18|23|20|18|45|23|23|30|18|23|18|45|30|20|20|30|18|20|23|45|20|18|20|45|23|20|45|45|30|30|18|20|
2014-04-02 Wed 20:50:01, pmedcap1(1).txt, [unsigned int]ShiftCustomerNeighborhood, 1000, 1396443000, 0.001, 0, 1383.53, 48|8|30|23|24|, 48|8|48|23|30|24|24|8|8|48|48|8|48|48|48|30|48|48|23|8|48|30|48|23|24|30|23|23|30|24|30|48|30|30|8|30|23|24|48|8|24|24|8|30|24|24|30|30|48|30|
2014-04-02 Wed 20:50:02, pmedcap1(1).txt, [unsigned int]ShiftCustomerNeighborhood, 2000, 1396443000, 0, 0, 1015.62, 9|46|49|5|29|, 49|5|9|5|46|5|29|5|5|9|9|5|9|49|49|49|9|49|46|5|49|46|9|46|5|46|5|46|46|29|46|49|49|46|5|49|5|29|49|29|49|9|29|49|9|9|46|46|9|49|
2014-04-02 Wed 21:02:03, pmedcap1(1).txt, [unsigned int]ShiftCustomerNeighborhood, 1000, 1396443722, 0.002, 0, 1736.14, 6|9|37|21|10|, 10|37|10|21|21|37|6|21|21|9|10|37|10|10|21|21|9|21|21|21|10|21|10|37|37|9|37|37|9|37|37|10|10|10|37|10|9|37|10|9|10|9|37|10|9|10|21|10|9|9|
2014-04-02 Wed 21:02:04, pmedcap1(1).txt, [unsigned int]ShiftCustomerNeighborhood, 2000, 1396443722, 0.001, 0, 1075.35, 7|5|15|30|12|, 15|5|12|30|30|5|12|7|7|12|12|7|12|12|15|15|12|15|30|7|15|30|12|30|5|15|5|30|15|5|30|12|15|15|7|12|30|12|15|5|12|12|5|12|5|5|30|30|5|15|
2014-04-02 Wed 21:04:50, pmedcap1(1).txt, [unsigned int]ShiftCustomerNeighborhood, 1000, 1396443767, 0.001, 0, 1482.71, 3|18|25|26|14|, 14|3|14|3|18|26|26|3|3|26|14|3|14|14|14|14|26|14|18|3|14|18|14|3|26|25|26|18|18|26|18|14|14|25|3|14|3|26|14|26|26|26|18|26|18|18|18|25|18|25|
2014-04-02 Wed 21:04:51, pmedcap1(1).txt, [unsigned int]ShiftCustomerNeighborhood, 2000, 1396443767, 0.001, 0, 1815.68, 20|45|0|40|29|, 0|29|45|29|20|29|29|29|29|29|45|29|45|40|20|20|29|20|20|20|20|20|45|20|29|0|29|0|0|29|0|40|0|0|45|0|0|45|0|0|40|45|45|0|45|45|0|40|45|0|
2014-04-02 Wed 21:04:57, pmedcap1(1).txt, [unsigned int]ShiftCustomerNeighborhood, 1000, 1396443896, 0.001, 0, 1156.25, 24|6|43|34|30|, 43|34|43|30|30|24|6|34|34|6|43|34|43|43|43|43|6|43|30|34|43|30|6|30|24|30|30|30|30|24|30|43|43|43|34|43|34|6|30|34|6|6|34|43|6|6|30|24|24|43|
2014-04-02 Wed 21:04:58, pmedcap1(1).txt, [unsigned int]ShiftCustomerNeighborhood, 2000, 1396443896, 0.001, 0, 1043.55, 36|47|16|10|27|, 10|36|10|36|27|36|16|36|36|16|10|36|10|10|47|47|16|10|27|36|10|27|10|27|16|47|36|27|36|16|27|10|47|47|27|47|36|16|10|27|10|10|36|10|16|10|27|47|16|10|
2014-04-02 Wed 21:12:20, pmedcap1(1).txt, [double]ShiftCustomerNeighborhood, 1000, 1396444339, 0.002, 0, 1536.66, 21|22|15|32|10|, 15|21|10|21|21|21|22|21|21|10|10|21|10|10|32|15|10|15|21|21|15|21|22|32|22|32|32|32|32|22|32|10|32|32|10|15|32|22|32|15|10|22|10|10|22|22|21|15|10|15|
2014-04-02 Wed 21:12:21, pmedcap1(1).txt, [double]ShiftCustomerNeighborhood, 2000, 1396444339, 0.001, 0, 1114.94, 18|27|35|10|40|, 35|27|10|27|18|27|10|27|27|10|10|27|10|40|35|35|10|35|18|27|35|18|10|27|10|18|18|27|18|10|27|40|35|18|27|35|18|10|35|18|40|10|35|35|10|40|18|35|35|35|
2014-04-02 Wed 21:57:42, pmedcap1(1).txt, [unsigned int]ShiftCustomerNeighborhood, 1000, 1396447061, 0.002, 0, 1693.99, 9|10|28|40|6|, 40|28|10|28|28|9|6|28|28|9|10|28|10|40|28|28|9|40|9|9|40|28|10|9|6|40|9|9|28|9|9|40|40|40|9|40|10|6|40|6|40|10|6|40|6|10|9|40|10|40|
2014-04-02 Wed 21:57:43, pmedcap1(1).txt, [unsigned int]ShiftCustomerNeighborhood, 2000, 1396447061, 0.001, 0, 894.01, 8|25|16|39|17|, 17|39|16|39|25|39|16|8|8|16|16|39|16|17|17|17|16|17|39|8|17|25|16|39|16|25|39|39|17|16|25|17|25|25|8|17|39|16|17|39|17|16|8|17|16|17|25|25|17|17|
2014-04-02 Wed 22:08:47, pmedcap1(1).txt, [unsigned int]ShiftCustomerNeighborhood, 1000, 1396447726, 0.001, 0, 1028.61, 31|27|36|9|18|, 31|36|9|36|18|36|9|36|36|9|9|36|9|31|31|18|9|31|18|36|31|18|9|27|9|18|36|27|18|9|27|31|18|18|36|31|36|9|31|27|31|9|36|31|9|31|18|18|18|31|
2014-04-02 Wed 22:08:48, pmedcap1(1).txt, [unsigned int]ShiftCustomerNeighborhood, 2000, 1396447726, 0.001, 0, 1846.1, 44|21|41|16|2|, 2|21|2|21|21|16|44|21|21|16|2|16|2|2|21|21|16|21|21|16|2|21|41|16|16|16|16|16|16|44|16|2|2|2|44|2|44|44|2|44|2|41|44|2|44|41|21|2|44|2|
2014-04-02 Wed 22:08:58, pmedcap1(1).txt, [unsigned int]ShiftCustomerNeighborhood, 1000, 1396447737, 0.001, 0, 1279.48, 17|5|34|12|24|, 17|34|12|5|17|5|24|34|34|12|12|34|12|17|17|17|12|17|5|34|17|17|12|5|24|17|5|5|17|24|5|17|12|5|34|12|5|24|12|34|12|12|34|17|12|12|17|5|5|17|
2014-04-02 Wed 22:08:59, pmedcap1(1).txt, [unsigned int]ShiftCustomerNeighborhood, 2000, 1396447737, 0.001, 0, 1248.98, 20|40|9|36|10|, 20|36|10|36|36|36|9|36|36|9|10|36|10|40|20|20|9|20|36|9|20|36|10|9|9|20|36|9|20|9|36|40|20|20|9|40|36|9|20|10|40|10|10|20|10|10|36|40|10|20|
2014-04-02 Wed 22:09:49, pmedcap1(1).txt, [unsigned int]ShiftCustomerNeighborhood, 1000, 1396447788, 0.001, 0, 1556.34, 34|18|3|7|29|, 18|34|29|3|18|29|29|7|7|29|29|34|29|29|18|18|29|18|18|7|18|18|29|3|29|18|3|18|3|29|3|29|3|3|34|3|3|29|3|3|29|34|34|18|29|34|18|7|34|29|
2014-04-02 Wed 22:09:50, pmedcap1(1).txt, [unsigned int]ShiftCustomerNeighborhood, 2000, 1396447788, 0.001, 0, 1127.04, 25|35|8|9|20|, 20|8|9|8|25|9|9|8|8|9|9|8|9|20|35|35|9|20|25|8|20|25|9|8|9|25|9|8|35|9|25|20|35|25|8|35|9|9|20|25|20|20|9|20|20|20|25|25|20|20|
2014-04-03 Thu 11:07:50, pmedcap1(1).txt, [unsigned int]ShiftCustomerNeighborhood, 1000, 1396494447, 0, 0, 1817.2, 12|21|13|10|41|, 13|21|10|21|21|12|12|21|21|12|10|21|12|13|21|21|12|13|12|12|13|21|41|21|12|12|12|12|12|10|10|13|13|13|10|13|10|10|10|10|13|41|10|13|10|41|21|13|10|13|
2014-04-03 Thu 11:07:54, pmedcap1(1).txt, [unsigned int]ShiftCustomerNeighborhood, 2000, 1396494447, 0.001, 0, 1366.07, 26|10|13|2|18|, 13|26|2|26|18|26|10|26|26|10|10|26|10|13|18|18|10|13|18|26|13|18|2|18|26|18|26|18|18|10|18|13|26|26|10|13|26|10|10|10|13|2|2|13|2|2|18|13|2|13|
2014-04-03 Thu 11:15:17, pmedcap1(1).txt, [int]ShiftCustomerNeighborhood, 1000, 1396494915, 0.026, 1, 1295.29, 40|22|5|49|48|, 49|5|22|48|49|5|22|5|5|22|22|5|22|40|40|49|22|49|48|5|49|48|22|5|5|49|48|5|48|48|5|40|49|49|48|49|48|48|40|5|40|22|5|49|22|22|5|49|48|49|
2014-04-03 Thu 11:15:21, pmedcap1(1).txt, [int]ShiftCustomerNeighborhood, 2000, 1396494915, 0.008, 1, 1013.85, 21|5|48|40|22|, 40|5|22|48|21|5|22|5|5|48|22|5|22|40|48|21|48|40|21|5|40|21|22|21|5|21|5|21|48|48|21|40|21|21|5|40|48|48|48|5|40|22|5|40|22|22|21|21|48|40|
